"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb03g000610"	"SORBI_3003G004900"	"Sobic.003G004900"	"AT1G62940.1"	"ACOS5"	"acyl-CoA synthetase 5"	"LOC_Os04g24530.1"	"AMP-binding domain containing protein, expressed"
"Sb03g000620"	"SORBI_3003G005000"	"Sobic.003G005000"	"AT5G42070.1"	""	""	"LOC_Os01g13390.1"	"expressed protein"
"Sb03g000630"	"SORBI_3003G005100"	"Sobic.003G005100"	"AT3G61790.1"	""	"Protein with RING/U-box and TRAF-like domains"	"LOC_Os01g13370.1"	"seven in absentia protein family domain containing protein, expressed"
"Sb03g000670"	"SORBI_3003G005600"	"Sobic.003G005600"	"AT3G15355.1"	"PFU1,UBC25"	"ubiquitin-conjugating enzyme 25"	"LOC_Os01g13280.1"	"ubiquitin conjugating enzyme protein, putative, expressed"
"Sb03g000680"	"SORBI_3003G005700"	"Sobic.003G005700"	"AT1G79250.1"	"AGC1.7"	"AGC kinase 1.7"	"LOC_Os01g13270.2"	"AGC_PVPK_like_kin82y.4 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"Sb03g000700"	"SORBI_3003G005800"	"Sobic.003G005800"	"AT4G20260.3"	"ATPCAP1,PCAP1"	"plasma-membrane associated cation-binding protein 1"	"LOC_Os01g13210.1"	"salt stress root protein RS1, putative, expressed"
"Sb03g000700"	"SORBI_3003G005800"	"Sobic.003G005800"	"AT4G20260.2"	"ATPCAP1,PCAP1"	"plasma-membrane associated cation-binding protein 1"	"LOC_Os01g13210.1"	"salt stress root protein RS1, putative, expressed"
"Sb03g000720"	"SORBI_3003G006000"	"Sobic.003G006000"	"AT1G25560.1"	"EDF1,TEM1"	"AP2/B3 transcription factor family protein"	"LOC_Os01g13180.1"	"expressed protein"
"Sb03g000760"	"SORBI_3003G006500"	"Sobic.003G006500"	"AT2G26490.1"	""	"Transducin/WD40 repeat-like superfamily protein"	"LOC_Os01g13140.1"	"WD domain, G-beta repeat domain containing protein, expressed"
"Sb03g000770"	"SORBI_3003G006600"	"Sobic.003G006600"	"AT2G25810.1"	"TIP4;1"	"tonoplast intrinsic protein 4;1"	"LOC_Os01g13130.1"	"aquaporin protein, putative, expressed"
"Sb03g000790"	"SORBI_3003G007200"	"Sobic.003G007200"	"AT2G25810.1"	"TIP4;1"	"tonoplast intrinsic protein 4;1"	"LOC_Os01g13120.1"	"aquaporin protein, putative, expressed"
"Sb03g000850"	"SORBI_3003G007800"	"Sobic.003G007800"	"AT4G28940.1"	""	"Phosphorylase superfamily protein"	"LOC_Os01g12940.1"	"phosphorylase domain containing protein, putative, expressed"
"Sb03g000860"	"SORBI_3003G007900"	"Sobic.003G007900"	"AT4G28940.1"	""	"Phosphorylase superfamily protein"	"LOC_Os01g12940.1"	"phosphorylase domain containing protein, putative, expressed"
"Sb03g000870"	"SORBI_3003G008100"	"Sobic.003G008100"	"AT3G06880.2"	""	"Transducin/WD40 repeat-like superfamily protein"	"LOC_Os01g12930.1"	"U-box domain containing protein, expressed"
"Sb03g000880"	"SORBI_3003G008200"	"Sobic.003G008200"	"AT3G16175.1"	""	"Thioesterase superfamily protein"	"LOC_Os01g12920.1"	"thioesterase family protein, putative, expressed"
"Sb03g000890"	"SORBI_3003G008300"	"Sobic.003G008300"	"AT3G16175.1"	""	"Thioesterase superfamily protein"	"LOC_Os01g12910.1"	"thioesterase family protein, putative, expressed"
"Sb03g000930"	"SORBI_3003G008700"	"Sobic.003G008700"	"AT4G32730.2"	"ATMYB3R-1,ATMYB3R1,MYB3R-1,MYB3R1,PC-MYB1"	"Homeodomain-like protein"	"LOC_Os01g12860.1"	"MYB family transcription factor, putative, expressed"
"Sb03g000930"	"SORBI_3003G008700"	"Sobic.003G008700"	"AT4G32730.2"	"ATMYB3R-1,ATMYB3R1,MYB3R-1,MYB3R1,PC-MYB1"	"Homeodomain-like protein"	"LOC_Os12g13570.1"	"MYB family transcription factor, putative, expressed"
"Sb03g000940"	"SORBI_3003G008800"	"Sobic.003G008800"	"AT5G42710.1"	""	""	"LOC_Os01g12840.1"	"expressed protein"
"Sb03g000980"	"SORBI_3003G009200"	"Sobic.003G009200"	"AT5G62630.1"	"HIPL2"	"hipl2 protein precursor"	"LOC_Os03g48540.1"	"expressed protein"
"Sb03g001020"	"SORBI_3003G009600"	"Sobic.003G009600"	"AT1G29140.1"	""	"Pollen Ole e 1 allergen and extensin family protein"	"LOC_Os06g36240.1"	"POEI21 - Pollen Ole e I allergen and extensin family protein precursor, expressed"
"Sb03g001030"	"SORBI_3003G009700"	"Sobic.003G009700"	"AT3G48310.1"	"CYP71A22"	"cytochrome P450, family 71, subfamily A, polypeptide 22"	"LOC_Os01g12760.1"	"cytochrome P450, putative, expressed"
"Sb03g001040"	"SORBI_3003G009900"	"Sobic.003G009900"	"AT3G48280.1"	"CYP71A25"	"cytochrome P450, family 71, subfamily A, polypeptide 25"	"LOC_Os01g12740.1"	"cytochrome P450, putative, expressed"
"Sb03g001070"	"SORBI_3003G010200"	"Sobic.003G010200"	"AT3G48280.1"	"CYP71A25"	"cytochrome P450, family 71, subfamily A, polypeptide 25"	"LOC_Os01g12740.1"	"cytochrome P450, putative, expressed"
"Sb03g001080"	"SORBI_3003G010300"	"Sobic.003G010300"	"AT3G48280.1"	"CYP71A25"	"cytochrome P450, family 71, subfamily A, polypeptide 25"	"LOC_Os01g12740.1"	"cytochrome P450, putative, expressed"
"Sb03g001085"	"SORBI_3003G010400"	"Sobic.003G010400"	"AT1G52280.1"	"AtRABG3d,RABG3d"	"RAB GTPase homolog G3D"	"LOC_Os01g12730.1"	"ras-related protein, putative, expressed"
"Sb03g001100"	"SORBI_3003G010600"	"Sobic.003G010600"	"AT4G13250.1"	"NYC1"	"NAD(P)-binding Rossmann-fold superfamily protein"	"LOC_Os01g12710.1"	"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"
"Sb03g001110"	"SORBI_3003G010700"	"Sobic.003G010700"	"AT5G19650.1"	"ATOFP8,OFP8"	"ovate family protein 8"	"LOC_Os01g12690.1"	"plant-specific domain TIGR01568 family protein, expressed"
"Sb03g001130"	"SORBI_3003G011000"	"Sobic.003G011000"	"AT1G64110.3"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"LOC_Os01g12660.1"	"AAA-type ATPase family protein, putative, expressed"
"Sb03g001140"	"SORBI_3003G011100"	"Sobic.003G011100"	"AT4G23630.1"	"BTI1,RTNLB1"	"VIRB2-interacting protein 1"	"LOC_Os01g12650.1"	"reticulon domain containing protein, putative, expressed"
"Sb03g001150"	"SORBI_3003G011200"	"Sobic.003G011200"	"AT1G64080.1"	""	""	"LOC_Os01g12640.2"	"expressed protein"
"Sb03g001170"	"SORBI_3003G011400"	"Sobic.003G011400"	"AT1G01470.1"	"LEA14,LSR3"	"Late embryogenesis abundant protein"	"LOC_Os01g12580.1"	"late embryogenesis abundant protein, putative, expressed"
"Sb03g001190"	"SORBI_3003G011700"	"Sobic.003G011700"	"AT2G46110.1"	"KPHMT1,PANB1"	"ketopantoate hydroxymethyltransferase 1"	"LOC_Os01g12560.1"	"3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed"
"Sb03g001200"	"SORBI_3003G011800"	"Sobic.003G011800"	"AT3G61530.2"	"PANB2"	"Phosphoenolpyruvate carboxylase family protein"	"LOC_Os01g12560.1"	"3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed"
"Sb03g001250"	"SORBI_3003G012300"	"Sobic.003G012300"	"AT1G79900.1"	"ATMBAC2,BAC2"	"Mitochondrial substrate carrier family protein"	"LOC_Os01g12520.1"	"mitochondrial carrier protein, putative, expressed"
"Sb03g001260"	"SORBI_3003G012400"	"Sobic.003G012400"	"AT4G13260.1"	"YUC2"	"Flavin-binding monooxygenase family protein"	"LOC_Os01g12490.1"	"flavin monooxygenase, putative, expressed"
"Sb03g001296"	"SORBI_3003G012800"	"Sobic.003G012800"	"AT4G27950.1"	"CRF4"	"cytokinin response factor 4"	"LOC_Os01g12440.1"	"AP2 domain containing protein, expressed"
"Sb03g001310"	"SORBI_3003G013000"	"Sobic.003G013000"	"AT4G23740.1"	""	"Leucine-rich repeat protein kinase family protein"	"LOC_Os01g12390.1"	"inactive receptor kinase At2g26730 precursor, putative, expressed"
"Sb03g001320"	"SORBI_3003G013100"	"Sobic.003G013100"	"AT5G45910.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g12320.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001350"	"SORBI_3003G013600"	"Sobic.003G013600"	""	""	""	"LOC_Os01g12270.1"	"expressed protein"
"Sb03g001360"	"SORBI_3003G013700"	"Sobic.003G013700"	"AT4G11150.1"	"emb2448,TUF,TUFF,VHA-E1"	"vacuolar ATP synthase subunit E1"	"LOC_Os01g12260.1"	"vacuolar ATP synthase subunit E, putative, expressed"
"Sb03g001380"	"SORBI_3003G014000"	"Sobic.003G014000"	""	""	""	"LOC_Os01g12230.1"	"peptidase C45, acyl-coenzyme A/6-aminopenicillanic acid acyl-transferase, putative, expressed"
"Sb03g001410"	"SORBI_3003G014200"	"Sobic.003G014200"	"AT5G63370.3"	""	"Protein kinase superfamily protein"	"LOC_Os12g23930.1"	"protein kinase domain containing protein, expressed"
"Sb03g001430"	"SORBI_3003G014400"	"Sobic.003G014400"	"AT5G41761.1"	""	""	"LOC_Os01g12190.1"	"expressed protein"
"Sb03g001440"	"SORBI_3003G014500"	"Sobic.003G014500"	"AT5G03280.1"	"ATEIN2,CKR1,EIN2,ERA3,ORE2,ORE3,PIR2"	"NRAMP metal ion transporter family protein"	"LOC_Os07g06130.1"	"ethylene-insensitive protein, putative, expressed"
"Sb03g001440"	"SORBI_3003G014500"	"Sobic.003G014500"	"AT5G03280.1"	"ATEIN2,CKR1,EIN2,ERA3,ORE2,ORE3,PIR2"	"NRAMP metal ion transporter family protein"	"LOC_Os07g06130.2"	"ethylene-insensitive protein, putative, expressed"
"Sb03g001450"	"SORBI_3003G014600"	"Sobic.003G014600"	"AT4G39830.1"	""	"Cupredoxin superfamily protein"	"LOC_Os09g32952.1"	"L-ascorbate oxidase precursor, putative, expressed"
"Sb03g001480"	"SORBI_3003G014900"	"Sobic.003G014900"	"AT5G53220.2"	""	""	"LOC_Os01g12180.1"	"expressed protein"
"Sb03g001480"	"SORBI_3003G014900"	"Sobic.003G014900"	"AT5G53220.3"	""	""	"LOC_Os01g12180.1"	"expressed protein"
"Sb03g001480"	"SORBI_3003G014900"	"Sobic.003G014900"	"AT5G53220.1"	""	""	"LOC_Os01g12180.1"	"expressed protein"
"Sb03g001490"	"SORBI_3003G015000"	"Sobic.003G015000"	"AT2G46370.4"	"FIN219,JAR1"	"Auxin-responsive GH3 family protein"	"LOC_Os01g12160.2"	"OsGH3.3 - Probable indole-3-acetic acid-amido synthetase, expressed"
"Sb03g001490"	"SORBI_3003G015000"	"Sobic.003G015000"	"AT2G46370.4"	"FIN219,JAR1"	"Auxin-responsive GH3 family protein"	"LOC_Os01g12160.1"	"OsGH3.3 - Probable indole-3-acetic acid-amido synthetase, expressed"
"Sb03g001550"	"SORBI_3003G015600"	"Sobic.003G015600"	"AT2G46420.1"	""	"Plant protein 1589 of unknown function"	"LOC_Os01g12080.1"	"plant-specific domain TIGR01589 family protein, putative, expressed"
"Sb03g001560"	"SORBI_3003G015700"	"Sobic.003G015700"	"AT4G11050.1"	"AtGH9C3,GH9C3"	"glycosyl hydrolase 9C3"	"LOC_Os01g12070.1"	"endoglucanase precursor, putative, expressed"
"Sb03g001580"	"SORBI_3003G016000"	"Sobic.003G016000"	"AT4G33355.1"	""	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"LOC_Os01g12020.1"	"LTPL18 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
"Sb03g001590"	"SORBI_3003G016100"	"Sobic.003G016100"	""	""	""	"LOC_Os01g12000.1"	"expressed protein"
"Sb03g001600"	"SORBI_3003G016200"	"Sobic.003G016200"	"AT5G36000.1"	""	""	"LOC_Os01g11990.1"	"expressed protein"
"Sb03g001630"	"SORBI_3003G016400"	"Sobic.003G016400"	"AT3G25545.1"	""	""	"LOC_Os01g11970.1"	"expressed protein"
"Sb03g001670"	"SORBI_3003G016800"	"Sobic.003G016800"	"AT5G45910.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11700.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001690"	"SORBI_3003G017100"	"Sobic.003G017100"	"AT1G54350.1"	""	"ABC transporter family protein"	"LOC_Os01g11946.1"	"ABC transporter, ATP-binding protein, putative, expressed"
"Sb03g001690"	"SORBI_3003G017100"	"Sobic.003G017100"	"AT1G54350.1"	""	"ABC transporter family protein"	"LOC_Os01g11946.2"	"ABC transporter, ATP-binding protein, putative, expressed"
"Sb03g001705"	"SORBI_3003G017300"	"Sobic.003G017300"	"AT1G30820.1"	""	"CTP synthase family protein"	"LOC_Os01g43020.1"	"CTP synthase, putative, expressed"
"Sb03g001720"	"SORBI_3003G017500"	"Sobic.003G017500"	"AT2G42580.1"	"TTL3,VIT"	"tetratricopetide-repeat thioredoxin-like 3"	"LOC_Os05g11990.1"	"TTL1, putative, expressed"
"Sb03g001730"	"SORBI_3003G017601"	"Sobic.003G017601"	"AT1G68810.1"	""	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"LOC_Os01g11910.1"	"basic helix-loop-helix, putative, expressed"
"Sb03g001750"	"SORBI_3003G017800"	"Sobic.003G017800"	"AT1G53280.1"	""	"Class I glutamine amidotransferase-like superfamily protein"	"LOC_Os01g11860.1"	"DJ-1 family protein, putative, expressed"
"Sb03g002000"	"SORBI_3003G017900"	"Sobic.003G017900"	""	""	""	"LOC_Os10g32470.1"	"expressed protein"
"Sb03g001990"	"SORBI_3003G018000"	"Sobic.003G018000"	""	""	""	"LOC_Os01g11430.1"	"expressed protein"
"Sb03g001950"	"SORBI_3003G018600"	"Sobic.003G018600"	"AT2G18740.1"	""	"Small nuclear ribonucleoprotein family protein"	"LOC_Os08g05530.1"	"LSM domain containing protein, expressed"
"Sb03g001940"	"SORBI_3003G018700"	"Sobic.003G018700"	"AT3G15030.3"	"MEE35,TCP4"	"TCP family transcription factor 4"	"LOC_Os01g11550.1"	"TCP family transcription factor, putative, expressed"
"Sb03g001940"	"SORBI_3003G018700"	"Sobic.003G018700"	"AT3G15030.1"	"MEE35,TCP4"	"TCP family transcription factor 4"	"LOC_Os01g11550.1"	"TCP family transcription factor, putative, expressed"
"Sb03g001930"	"SORBI_3003G018800"	"Sobic.003G018800"	"AT5G45920.1"	""	"SGNH hydrolase-type esterase superfamily protein"	"LOC_Os01g11570.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001890"	"SORBI_3003G019200"	"Sobic.003G019200"	"AT2G31090.1"	""	""	"LOC_Os01g11600.1"	"expressed protein"
"Sb03g001880"	"SORBI_3003G019300"	"Sobic.003G019300"	"AT5G45910.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11620.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001870"	"SORBI_3003G019700"	"Sobic.003G019700"	"AT5G45910.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11650.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001860"	"SORBI_3003G019800"	"Sobic.003G019800"	"AT1G28590.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11700.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001850"	"SORBI_3003G019900"	"Sobic.003G019900"	"AT5G45910.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11710.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001830"	"SORBI_3003G020300"	"Sobic.003G020300"	"AT1G28670.1"	"ARAB-1"	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11750.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001810"	"SORBI_3003G020500"	"Sobic.003G020500"	"AT1G28670.1"	"ARAB-1"	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g11750.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g001800"	"SORBI_3003G020600"	"Sobic.003G020600"	"AT2G34070.1"	"TBL37"	"TRICHOME BIREFRINGENCE-LIKE 37"	"LOC_Os01g11810.1"	"powdery mildew resistant protein 5, putative, expressed"
"Sb03g001770"	"SORBI_3003G021100"	"Sobic.003G021100"	""	""	""	"LOC_Os01g11850.1"	"expressed protein"
"Sb03g002020"	"SORBI_3003G021500"	"Sobic.003G021500"	"AT1G53210.1"	""	"sodium/calcium exchanger family protein / calcium-binding EF hand family protein"	"LOC_Os01g11414.1"	"sodium/calcium exchanger protein, putative, expressed"
"Sb03g002030"	"SORBI_3003G021600"	"Sobic.003G021600"	"AT4G18465.1"	""	"RNA helicase family protein"	"LOC_Os01g11370.1"	"ATP-dependent RNA helicase, putative, expressed"
"Sb03g002060"	"SORBI_3003G021900"	"Sobic.003G021900"	"AT2G34500.1"	"CYP710A1"	"cytochrome P450, family 710, subfamily A, polypeptide 1"	"LOC_Os01g11340.1"	"cytochrome P450, putative, expressed"
"Sb03g002070"	"SORBI_3003G022000"	"Sobic.003G022000"	"AT4G18270.1"	"ATTRANS11,TRANS11"	"translocase 11"	"LOC_Os01g11260.1"	"phospho-N-acetylmuramoyl-pentapeptide-transferase, putative, expressed"
"Sb03g002080"	"SORBI_3003G022200"	"Sobic.003G022200"	"AT1G09310.1"	""	"Protein of unknown function, DUF538"	"LOC_Os01g11240.1"	"DUF538 domain containing protein, putative, expressed"
"Sb03g002090"	"SORBI_3003G022300"	"Sobic.003G022300"	"AT1G17100.1"	""	"SOUL heme-binding family protein"	"LOC_Os01g11230.1"	"SOUL heme-binding protein, putative, expressed"
"Sb03g002100"	"SORBI_3003G022400"	"Sobic.003G022400"	"AT5G46220.1"	""	"Protein of unknown function (DUF616)"	"LOC_Os01g11220.1"	"hydrolase, acting on carbon-nitrogen, putative, expressed"
"Sb03g002120"	"SORBI_3003G022500"	"Sobic.003G022500"	""	""	""	"LOC_Os01g11210.1"	"expressed protein"
"Sb03g002130"	"SORBI_3003G022600"	"Sobic.003G022600"	"AT2G34960.1"	"CAT5"	"cationic amino acid transporter 5"	"LOC_Os01g11160.1"	"amino acid permease family protein, putative, expressed"
"Sb03g002150"	"SORBI_3003G022700"	"Sobic.003G022700"	"AT1G78440.1"	"ATGA2OX1,GA2OX1"	"Arabidopsis thaliana gibberellin 2-oxidase 1"	"LOC_Os01g11150.1"	"gibberellin 2-beta-dioxygenase, putative, expressed"
"Sb03g002170"	"SORBI_3003G022900"	"Sobic.003G022900"	"AT3G45630.1"	""	"RNA binding (RRM/RBD/RNP motifs) family protein"	"LOC_Os01g11130.1"	"RNA recognition motif containing protein, putative, expressed"
"Sb03g002190"	"SORBI_3003G023100"	"Sobic.003G023100"	""	""	""	"LOC_Os01g11080.1"	"transposable element protein, putative, containing Pfam profile- PF03732, Retrotrans_gag, expressed"
"Sb03g002200"	"SORBI_3003G023200"	"Sobic.003G023200"	"AT2G45280.2"	"ATRAD51C,RAD51C"	"RAS associated with diabetes protein 51C"	"LOC_Os01g39630.1"	"DNA repair protein Rad51, putative, expressed"
"Sb03g002220"	"SORBI_3003G023400"	"Sobic.003G023400"	"AT1G29170.1"	"ATSCAR3,SCAR3,WAVE2"	"SCAR family protein"	"LOC_Os01g11040.1"	"SCAR-like protein 2, putative, expressed"
"Sb03g002240"	"SORBI_3003G023600"	"Sobic.003G023600"	"AT3G14920.1"	""	"Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein"	"LOC_Os01g11010.1"	"peptide-N4-asparagine amidase A, putative, expressed"
"Sb03g002270"	"SORBI_3003G023800"	"Sobic.003G023800"	"AT3G14920.1"	""	"Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein"	"LOC_Os01g10950.1"	"peptide-N4-asparagine amidase A, putative, expressed"
"Sb03g002300"	"SORBI_3003G024000"	"Sobic.003G024000"	"AT3G14920.1"	""	"Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein"	"LOC_Os01g10930.1"	"peptide-N4-asparagine amidase A, putative, expressed"
"Sb03g002310"	"SORBI_3003G024100"	"Sobic.003G024100"	"AT4G18640.1"	"MRH1"	"Leucine-rich repeat protein kinase family protein"	"LOC_Os01g10900.2"	"MRH1, putative, expressed"
"Sb03g002330"	"SORBI_3003G024300"	"Sobic.003G024300"	"AT5G44070.1"	"ARA8,ATPCS1,CAD1,PCS1"	"phytochelatin synthase 1 (PCS1)"	"LOC_Os06g01260.1"	"glutathione gamma-glutamylcysteinyltransferase 1, putative, expressed"
"Sb03g002340"	"SORBI_3003G024400"	"Sobic.003G024400"	"AT5G45820.1"	"CIPK20,PKS18,SnRK3.6"	"CBL-interacting protein kinase 20"	"LOC_Os01g10890.1"	"CAMK_KIN1/SNF1/Nim1_like.8 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"Sb03g002370"	"SORBI_3003G024700"	"Sobic.003G024700"	"AT5G05340.1"	""	"Peroxidase superfamily protein"	"LOC_Os01g10850.1"	"peroxidase precursor, putative, expressed"
"Sb03g002380"	"SORBI_3003G024800"	"Sobic.003G024800"	"AT1G06390.2"	"ATGSK1,ATSK2-3,ATSK22,BIL2,GSK1,SK22"	"GSK3/SHAGGY-like protein kinase 1"	"LOC_Os01g10840.1"	"CGMC_GSK.2 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"Sb03g002400"	"SORBI_3003G025000"	"Sobic.003G025000"	"AT1G65520.1"	"ATECI1,ECHIC,ECI1,PEC11"	"delta(3), delta(2)-enoyl CoA isomerase 1"	"LOC_Os01g10830.1"	"carnitine racemase like protein, putative, expressed"
"Sb03g002460"	"SORBI_3003G025700"	"Sobic.003G025700"	"AT1G53380.3"	""	"Plant protein of unknown function (DUF641)"	"LOC_Os01g10680.1"	"GIL1, putative, expressed"
"Sb03g002480"	"SORBI_3003G026300"	"Sobic.003G026300"	"AT1G78700.1"	"BEH4"	"BES1/BZR1 homolog 4"	"LOC_Os01g10610.1"	"BES1/BZR1 homolog protein, putative, expressed"
"Sb03g002490"	"SORBI_3003G026400"	"Sobic.003G026400"	"AT4G18910.1"	"ATNLM2,NIP1;2,NLM2"	"NOD26-like intrinsic protein 1;2"	"LOC_Os05g11560.1"	"aquaporin protein, putative, expressed"
"Sb03g002500"	"SORBI_3003G026600"	"Sobic.003G026600"	"AT1G65480.1"	"FT"	"PEBP (phosphatidylethanolamine-binding protein) family protein"	"LOC_Os01g10590.1"	"osFTL8 FT-Like8 homologous to Flowering Locus T gene; contains Pfam profile PF01161- Phosphatidylethanolamine-binding protein, expressed"
"Sb03g002520"	"SORBI_3003G026900"	"Sobic.003G026900"	""	""	""	"LOC_Os01g10530.2"	"expressed protein"
"Sb03g002520"	"SORBI_3003G026900"	"Sobic.003G026900"	"AT3G58770.1"	""	""	"LOC_Os01g10530.2"	"expressed protein"
"Sb03g002525"	"SORBI_3003G027000"	"Sobic.003G027000"	"AT4G18960.1"	"AG"	"K-box region and MADS-box transcription factor family protein "	"LOC_Os01g10504.1"	"OsMADS3 - MADS-box family gene with MIKCc type-box, expressed"
"Sb03g002540"	"SORBI_3003G027100"	"Sobic.003G027100"	"AT2G42840.1"	"PDF1"	"protodermal factor 1"	"LOC_Os01g10490.1"	"keratin, type I cytoskeletal 9, putative, expressed"
"Sb03g002550"	"SORBI_3003G027200"	"Sobic.003G027200"	"AT5G53870.1"	"AtENODL1,ENODL1"	"early nodulin-like protein 1"	"LOC_Os01g10480.1"	"plastocyanin-like domain containing protein, putative, expressed"
"Sb03g002560"	"SORBI_3003G027300"	"Sobic.003G027300"	"AT4G15800.1"	"RALFL33"	"ralf-like 33"	"LOC_Os05g11330.1"	"RALFL19 - Rapid ALkalinization Factor RALF family protein precursor, expressed"
"Sb03g002570"	"SORBI_3003G027400"	"Sobic.003G027400"	"AT1G28280.2"	""	"VQ motif-containing protein"	"LOC_Os01g54400.1"	"VQ domain containing protein, putative, expressed"
"Sb03g002580"	"SORBI_3003G027500"	"Sobic.003G027500"	"AT5G58950.1"	""	"Protein kinase superfamily protein"	"LOC_Os01g10450.2"	"protein kinase domain containing protein, expressed"
"Sb03g002590"	"SORBI_3003G027600"	"Sobic.003G027600"	"AT3G15350.2"	""	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	"LOC_Os01g10440.1"	"xylosyltransferase, putative, expressed"
"Sb03g002610"	"SORBI_3003G027800"	"Sobic.003G027800"	"AT1G53050.1"	""	"Protein kinase superfamily protein"	"LOC_Os01g10430.1"	"protein kinase family protein, putative, expressed"
"Sb03g002630"	"SORBI_3003G028000"	"Sobic.003G028000"	"AT5G11590.1"	"TINY2"	"Integrase-type DNA-binding superfamily protein"	"LOC_Os01g10370.1"	"AP2 domain containing protein, expressed"
"Sb03g002650"	"SORBI_3003G028200"	"Sobic.003G028200"	"AT5G11640.1"	""	"Thioredoxin superfamily protein"	"LOC_Os01g10340.1"	"expressed protein"
"Sb03g002700"	"SORBI_3003G028800"	"Sobic.003G028800"	"AT5G25840.1"	""	"Protein of unknown function (DUF1677)"	"LOC_Os01g10260.1"	"expressed protein"
"Sb03g002710"	"SORBI_3003G028900"	"Sobic.003G028900"	"AT5G11650.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g10250.1"	"hydrolase, alpha/beta fold family domain containing protein, expressed"
"Sb03g002720"	"SORBI_3003G029000"	"Sobic.003G029000"	"AT1G27480.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os10g08026.1"	"lecithin-cholesterol acyltransferase, putative, expressed"
"Sb03g002740"	"SORBI_3003G029200"	"Sobic.003G029200"	"AT1G27480.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os10g08026.1"	"lecithin-cholesterol acyltransferase, putative, expressed"
"Sb03g002750"	"SORBI_3003G029300"	"Sobic.003G029300"	"AT2G25770.2"	""	"Polyketide cyclase/dehydrase and lipid transport superfamily protein"	"LOC_Os01g10210.1"	"lachrymatory factor synthase, putative, expressed"
"Sb03g002760"	"SORBI_3003G029400"	"Sobic.003G029400"	"AT3G16330.1"	""	""	"LOC_Os01g10180.1"	"avr9/Cf-9 rapidly elicited protein 146, putative, expressed"
"Sb03g002780"	"SORBI_3003G029600"	"Sobic.003G029600"	"AT1G62020.1"	""	"Coatomer, alpha subunit"	"LOC_Os09g04110.2"	"coatomer alpha subunit, putative, expressed"
"Sb03g002800"	"SORBI_3003G029800"	"Sobic.003G029800"	"AT2G19930.1"	""	"RNA-dependent RNA polymerase family protein"	"LOC_Os01g10140.2"	"RNA-dependent RNA polymerase, putative, expressed"
"Sb03g002810"	"SORBI_3003G029900"	"Sobic.003G029900"	"AT1G75450.1"	"ATCKX5,ATCKX6,CKX5"	"cytokinin oxidase 5"	"LOC_Os01g10110.1"	"cytokinin dehydrogenase precursor, putative, expressed"
"Sb03g002830"	"SORBI_3003G030200"	"Sobic.003G030200"	"AT3G18030.1"	"ATHAL3,ATHAL3A,HAL3,HAL3A"	"HAL3-like protein A"	"LOC_Os06g09910.2"	"phosphopantothenoylcysteine decarboxylase, putative, expressed"
